Ticket ID,Log Time,Resolution Time,Category,Description,Resolutions,MSISDN
T61349,2023-07-23 10:57:04,2023-07-25 06:57:04,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230788912728
T50583,2023-07-16 09:27:48,2023-07-18 13:27:48,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230625617252
T57826,2024-09-10 20:07:42,2024-09-11 21:07:42,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230898156533
T48352,2023-10-13 17:01:10,2023-10-14 08:01:10,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230338505901
T59180,2023-06-26 18:54:37,2023-06-27 08:54:37,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230805185257
T63753,2023-02-10 17:04:33,2023-02-12 04:04:33,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230141894241
T93207,2023-10-15 18:16:57,2023-10-15 19:16:57,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230377808000
T18879,2024-08-14 00:36:56,2024-08-15 04:36:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230901697602
T73982,2024-11-24 11:36:26,2024-11-25 19:36:26,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230460235560
T33417,2024-03-17 04:04:01,2024-03-19 15:04:01,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230541679053
T52378,2023-06-07 18:10:37,2023-06-08 04:10:37,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230460235560
T41151,2023-07-15 12:59:01,2023-07-16 12:59:01,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230839186102
T46674,2024-09-05 20:31:34,2024-09-07 01:31:34,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230141894241
T83154,2024-03-03 14:50:09,2024-03-06 07:50:09,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230844863890
T77514,2023-06-30 11:58:26,2023-07-01 08:58:26,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230484748077
T89658,2023-09-25 09:44:03,2023-09-26 16:44:03,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230817598215
T55936,2023-06-10 11:31:41,2023-06-10 12:31:41,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230731598505
T13732,2023-10-04 02:08:45,2023-10-05 21:08:45,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230367979227
T21475,2023-09-23 20:28:56,2023-09-26 15:28:56,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230751286997
T38713,2023-06-08 12:20:06,2023-06-08 22:20:06,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230874591636
T11519,2024-04-22 05:20:57,2024-04-22 11:20:57,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230492437848
T89450,2024-10-21 00:33:47,2024-10-23 04:33:47,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230940913341
T87225,2024-06-02 00:15:43,2024-06-02 15:15:43,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230131212541
T86930,2023-12-18 03:10:13,2023-12-20 03:10:13,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230859759249
T97979,2023-08-18 23:04:52,2023-08-21 13:04:52,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230541679053
T43517,2023-10-01 05:38:56,2023-10-01 13:38:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230206172868
T93276,2024-11-05 21:48:10,2024-11-08 10:48:10,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230418573546
T50241,2023-02-14 15:25:14,2023-02-15 05:25:14,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230816548778
T92359,2024-02-20 01:21:00,2024-02-21 08:21:00,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230924151654
T87430,2024-11-30 12:20:16,2024-12-02 18:20:16,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230776465178
T10290,2023-11-16 15:43:00,2023-11-17 16:43:00,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230131212541
T69356,2024-01-06 02:53:45,2024-01-08 09:53:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230696877696
T97777,2023-07-24 18:18:06,2023-07-27 16:18:06,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230784359368
T13898,2023-08-24 07:22:38,2023-08-25 18:22:38,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230671758459
T17737,2023-12-22 04:48:59,2023-12-23 22:48:59,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230203803040
T27875,2024-05-31 19:20:04,2024-06-02 21:20:04,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230174337699
T85849,2023-05-14 18:27:32,2023-05-16 16:27:32,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230382598306
T93162,2023-10-04 14:36:38,2023-10-04 19:36:38,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230879503904
T36690,2024-09-24 13:13:11,2024-09-25 01:13:11,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230382598306
T34002,2024-05-15 21:57:17,2024-05-18 15:57:17,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230202281036
T59693,2023-11-03 02:20:38,2023-11-03 17:20:38,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230141002657
T49988,2023-05-02 03:06:32,2023-05-03 00:06:32,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230344399416
T62923,2024-05-24 17:52:13,2024-05-25 14:52:13,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230336452998
T46259,2024-07-26 10:38:04,2024-07-28 10:38:04,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230663695123
T48354,2023-03-14 01:33:58,2023-03-15 04:33:58,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230681362355
T46548,2023-01-08 00:50:44,2023-01-10 18:50:44,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230804972100
T80772,2023-12-14 19:43:54,2023-12-16 02:43:54,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230277017963
T22264,2023-12-13 06:15:09,2023-12-13 16:15:09,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230813900597
T28377,2023-09-16 13:11:50,2023-09-17 17:11:50,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230625617252
T10394,2024-09-04 11:02:34,2024-09-07 05:02:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230758196297
T40957,2024-06-09 03:50:45,2024-06-10 17:50:45,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230884555194
T61451,2023-05-21 16:29:01,2023-05-24 05:29:01,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230877924960
T40798,2024-07-30 11:35:03,2024-08-01 11:35:03,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230818324681
T71013,2024-12-10 09:22:10,2024-12-12 16:22:10,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230986337820
T65529,2023-08-03 10:26:41,2023-08-05 17:26:41,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230898156533
T89921,2024-02-01 01:13:19,2024-02-01 22:13:19,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230538552061
T22668,2024-11-20 03:55:33,2024-11-22 16:55:33,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230340061181
T99066,2023-09-02 19:52:12,2023-09-05 11:52:12,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230668420188
T74181,2023-08-17 15:36:41,2023-08-18 03:36:41,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230210475028
T40819,2024-10-23 15:40:56,2024-10-24 13:40:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230377119445
T13134,2023-05-16 00:48:04,2023-05-17 01:48:04,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230262593890
T24619,2023-11-29 00:57:52,2023-11-30 09:57:52,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230625617252
T11823,2023-12-09 04:41:23,2023-12-09 12:41:23,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230808755530
T60203,2023-10-17 07:45:38,2023-10-20 02:45:38,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230501743542
T20343,2023-04-15 18:41:28,2023-04-18 18:41:28,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230620961607
T42458,2023-08-07 22:40:49,2023-08-10 12:40:49,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230745590992
T31581,2024-02-01 16:37:17,2024-02-01 19:37:17,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230110752086
T49488,2023-12-12 08:00:42,2023-12-14 10:00:42,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230995147362
T19338,2024-12-15 14:30:52,2024-12-15 21:30:52,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230233566905
T56245,2023-06-07 08:43:16,2023-06-09 16:43:16,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230344399416
T81070,2023-05-30 04:10:04,2023-06-02 01:10:04,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230737442961
T23324,2024-08-02 10:27:48,2024-08-02 11:27:48,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230181101498
T24090,2024-06-22 09:19:22,2024-06-22 10:19:22,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230731598505
T63481,2024-07-20 14:00:53,2024-07-20 21:00:53,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230135697838
T12515,2023-08-20 17:55:39,2023-08-21 11:55:39,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230482635548
T42829,2024-03-08 11:33:06,2024-03-11 05:33:06,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230676813795
T14238,2024-01-11 18:01:29,2024-01-12 08:01:29,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230859259858
T11540,2024-03-23 12:12:44,2024-03-26 10:12:44,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230175549082
T21292,2023-07-02 03:48:15,2023-07-04 03:48:15,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230284966704
T30965,2024-05-18 20:56:34,2024-05-20 15:56:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230200289727
T72591,2023-02-05 13:07:50,2023-02-08 01:07:50,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230857572590
T10674,2023-07-06 09:00:43,2023-07-07 04:00:43,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230430137914
T15676,2024-09-07 11:22:13,2024-09-09 19:22:13,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230386899259
T59079,2024-09-01 01:25:15,2024-09-02 19:25:15,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230483525064
T13448,2024-07-13 10:04:23,2024-07-15 08:04:23,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230655468230
T66935,2023-04-20 17:11:10,2023-04-21 19:11:10,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230232190327
T51695,2023-03-02 11:56:16,2023-03-03 21:56:16,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230539361665
T52974,2023-08-09 07:08:34,2023-08-10 11:08:34,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230648571772
T76950,2024-10-08 09:03:12,2024-10-08 22:03:12,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230359400406
T85830,2023-09-12 07:16:06,2023-09-14 04:16:06,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230177089747
T81334,2023-06-27 19:57:52,2023-06-28 15:57:52,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230213698765
T29034,2024-11-02 03:11:28,2024-11-02 07:11:28,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230262593890
T57925,2024-08-28 23:41:05,2024-08-29 12:41:05,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230276660407
T94607,2024-12-06 02:35:35,2024-12-06 09:35:35,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230323323380
T74113,2024-09-30 11:34:24,2024-09-30 20:34:24,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230610000463
T76997,2024-11-30 13:47:35,2024-12-01 03:47:35,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230868543023
T50502,2023-06-28 14:04:45,2023-06-29 15:04:45,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230951046596
T42175,2023-11-28 04:29:57,2023-11-28 20:29:57,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230764380110
T73843,2023-06-15 05:08:52,2023-06-15 22:08:52,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230519509585
T83921,2023-08-03 22:22:28,2023-08-05 05:22:28,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230590622845
T76219,2023-12-30 07:17:13,2024-01-02 02:17:13,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230377119445
T93230,2024-09-28 03:26:41,2024-09-29 22:26:41,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230416880924
T50277,2024-02-16 21:56:57,2024-02-18 12:56:57,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230845937238
T34284,2023-10-18 16:29:53,2023-10-19 04:29:53,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230206172868
T12347,2024-06-12 05:33:08,2024-06-15 00:33:08,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230719228714
T23198,2024-09-28 12:14:31,2024-09-30 04:14:31,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230691534638
T60409,2023-05-10 15:52:04,2023-05-12 18:52:04,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230130862663
T98418,2024-01-21 11:16:34,2024-01-24 10:16:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230277017963
T66650,2024-11-20 14:49:35,2024-11-21 13:49:35,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230945377575
T10179,2024-10-13 21:11:51,2024-10-15 14:11:51,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230156332171
T38640,2023-07-15 22:07:40,2023-07-16 07:07:40,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230926844978
T42719,2024-10-11 21:40:28,2024-10-13 01:40:28,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230518716541
T26700,2024-01-13 04:45:19,2024-01-15 10:45:19,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230377854779
T93002,2023-09-21 22:27:36,2023-09-23 05:27:36,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230504769021
T25762,2024-01-05 14:28:13,2024-01-05 18:28:13,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230760123315
T92847,2023-08-02 13:28:59,2023-08-03 22:28:59,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230347659110
T70959,2023-01-11 23:15:09,2023-01-14 08:15:09,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230150956349
T18694,2024-04-01 14:04:12,2024-04-02 22:04:12,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230689135277
T29305,2023-04-14 10:41:00,2023-04-14 18:41:00,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230132527460
T88744,2024-05-08 16:23:55,2024-05-09 22:23:55,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230175168797
T59498,2024-08-26 15:21:00,2024-08-29 12:21:00,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230583143146
T79902,2024-05-02 17:14:19,2024-05-03 11:14:19,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230863763764
T52537,2024-03-15 03:35:32,2024-03-16 20:35:32,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230578964248
T75462,2023-09-27 20:57:05,2023-09-28 19:57:05,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230818324681
T96270,2024-12-20 21:14:29,2024-12-21 17:14:29,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230878479840
T54183,2024-05-17 14:57:44,2024-05-19 17:57:44,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230927056639
T25935,2023-05-19 14:09:16,2023-05-20 01:09:16,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230108807547
T81328,2024-04-27 19:04:25,2024-04-29 12:04:25,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230818324681
T83555,2024-04-29 17:15:33,2024-05-01 19:15:33,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230377854779
T16673,2023-02-16 21:36:17,2023-02-18 22:36:17,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230375319344
T34518,2023-06-11 15:28:55,2023-06-13 04:28:55,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230536743904
T52401,2024-01-07 04:16:03,2024-01-08 18:16:03,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230834904761
T55788,2024-10-18 23:06:57,2024-10-20 08:06:57,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230521850876
T32994,2024-02-05 23:07:28,2024-02-06 16:07:28,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230250373229
T85737,2024-09-12 15:24:57,2024-09-13 20:24:57,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230797852798
T49965,2024-12-19 20:57:09,2024-12-20 00:57:09,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230648571772
T59675,2023-05-17 15:50:07,2023-05-18 23:50:07,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230469090751
T48618,2024-07-11 12:05:34,2024-07-13 00:05:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230783931863
T69565,2023-02-28 20:46:36,2023-03-01 09:46:36,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230671681911
T89302,2024-02-19 22:04:10,2024-02-20 18:04:10,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230945377575
T15480,2023-05-09 20:52:50,2023-05-10 10:52:50,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230957219651
T14686,2024-04-12 13:14:01,2024-04-14 21:14:01,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230232190327
T16609,2023-08-27 19:40:33,2023-08-29 16:40:33,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230898156533
T85566,2024-09-01 04:44:32,2024-09-01 19:44:32,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230935333762
T28121,2024-09-21 07:51:14,2024-09-21 17:51:14,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230233566905
T95931,2024-09-14 20:28:20,2024-09-15 15:28:20,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230141894241
T26120,2023-08-09 16:14:37,2023-08-10 21:14:37,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230838747192
T11862,2023-07-14 14:21:17,2023-07-16 14:21:17,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230536743904
T72889,2023-06-11 22:15:02,2023-06-13 04:15:02,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230696877696
T52788,2023-07-11 11:39:22,2023-07-13 20:39:22,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230405694220
T86090,2023-06-22 19:21:51,2023-06-25 05:21:51,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230869170025
T70661,2023-12-18 03:43:35,2023-12-19 20:43:35,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230483525064
T10811,2024-01-16 19:09:30,2024-01-16 22:09:30,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230710999422
T19437,2023-06-19 04:43:33,2023-06-20 13:43:33,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230843939004
T18269,2024-06-08 05:59:22,2024-06-10 23:59:22,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230587001801
T63635,2024-12-16 10:54:46,2024-12-17 14:54:46,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230585087525
T31645,2023-11-30 13:50:54,2023-12-02 23:50:54,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230660795550
T31313,2024-08-25 06:42:48,2024-08-25 17:42:48,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230340148689
T23862,2023-01-15 16:05:48,2023-01-17 18:05:48,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230719228714
T13175,2024-09-09 10:32:02,2024-09-11 19:32:02,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230545817301
T49396,2024-09-12 19:32:32,2024-09-14 14:32:32,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230691534638
T74072,2023-05-24 18:36:55,2023-05-25 22:36:55,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230913067921
T48793,2023-01-30 09:04:30,2023-02-02 00:04:30,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230563265024
T28187,2024-04-22 19:10:22,2024-04-24 22:10:22,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230817598215
T55505,2024-09-03 21:01:44,2024-09-05 04:01:44,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230224556190
T37470,2024-08-23 08:46:38,2024-08-25 10:46:38,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230198819986
T91696,2023-08-11 16:04:47,2023-08-12 03:04:47,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230222425251
T19871,2024-09-10 00:47:34,2024-09-10 20:47:34,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230734656004
T11103,2024-07-24 16:22:06,2024-07-27 11:22:06,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230116725380
T75098,2023-09-10 07:17:28,2023-09-12 08:17:28,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230513601178
T23307,2023-05-17 02:11:49,2023-05-20 00:11:49,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230587802695
T39665,2023-02-26 03:23:24,2023-02-26 19:23:24,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230436309566
T42731,2023-07-24 07:36:39,2023-07-25 05:36:39,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230283219045
T19747,2023-12-20 02:28:29,2023-12-21 14:28:29,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230582461373
T65611,2023-07-23 14:28:07,2023-07-25 14:28:07,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230231393360
T16369,2024-08-03 07:32:58,2024-08-04 20:32:58,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230131679184
T37741,2024-02-02 10:12:53,2024-02-03 08:12:53,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230218302795
T78718,2024-09-26 10:50:12,2024-09-27 18:50:12,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230703883514
T85185,2023-01-15 19:19:09,2023-01-17 21:19:09,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230889163981
T49676,2023-10-26 04:52:44,2023-10-28 03:52:44,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230906222160
T80127,2023-03-24 09:36:02,2023-03-26 01:36:02,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230203803040
T89968,2023-01-31 11:59:59,2023-02-02 11:59:59,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230734032528
T92098,2023-07-08 21:20:48,2023-07-11 00:20:48,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230354967134
T71569,2023-09-19 11:34:51,2023-09-22 06:34:51,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230293952148
T57703,2023-07-09 06:38:00,2023-07-11 14:38:00,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230620962249
T57154,2024-11-23 13:26:24,2024-11-24 01:26:24,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230639362130
