Offer Name,Offer ID,Data Browsing Allowance,SMS Allowance,Voice On-Net Allowance,Voice Off-Net Allowance,Data Social Allowance,Datetime,Amount,MSISDN
Offer 4,O027,4997,648,195,146,242,2024-05-10 15:55:17,218,9230823544998
Offer 28,O030,5117,150,98,96,1022,2023-02-21 09:57:53,145,9230338854256
Offer 28,O030,4090,128,388,152,833,2023-06-27 01:41:06,495,9230369808467
Offer 6,O002,2046,941,439,204,1221,2023-03-14 09:08:36,568,9230676813795
Offer 15,O024,7995,460,272,167,1159,2023-09-27 11:35:25,727,9230231393360
Offer 9,O046,8904,281,135,206,319,2023-11-17 02:24:55,50,9230865562600
Offer 25,O010,1034,450,129,239,1450,2023-12-24 18:56:23,645,9230963789911
Offer 29,O001,667,925,322,185,1070,2023-03-22 12:44:47,105,9230627366212
Offer 8,O029,9526,630,132,249,1130,2023-12-19 00:21:53,472,9230535496574
Offer 42,O012,643,617,487,113,1996,2024-03-13 03:57:16,861,9230424834512
Offer 29,O023,3279,941,369,219,2219,2023-05-05 14:37:22,228,9230701523260
Offer 45,O010,4316,209,404,267,2625,2024-06-07 19:05:05,200,9230817598215
Offer 29,O044,8268,612,150,33,1085,2024-04-28 15:51:47,408,9230938865042
Offer 23,O039,8596,465,84,94,2637,2024-12-28 11:45:56,785,9230406874492
Offer 10,O036,7588,716,361,160,2603,2023-09-04 08:55:45,846,9230284527343
Offer 27,O017,7210,175,171,193,2950,2023-09-24 20:51:55,340,9230710465361
Offer 27,O028,3476,311,307,89,2630,2023-08-11 17:40:33,411,9230945377575
Offer 14,O022,7948,287,332,56,2389,2023-10-28 14:37:44,766,9230816548778
Offer 15,O001,9911,358,422,220,571,2024-06-09 09:29:29,722,9230383558530
Offer 28,O010,9985,197,91,235,2021,2024-01-14 23:21:56,473,9230965222030
Offer 43,O016,9206,369,236,112,2095,2023-11-01 19:58:49,913,9230274619633
Offer 8,O045,7199,302,219,188,1695,2024-02-05 21:14:02,314,9230297542011
Offer 12,O018,4333,986,53,245,1806,2024-07-06 16:50:46,905,9230296988060
Offer 44,O023,8718,116,481,209,2677,2023-12-19 22:49:55,913,9230184750806
Offer 21,O009,6269,686,458,165,623,2024-08-29 21:33:23,956,9230367979227
Offer 34,O039,6824,971,298,162,1749,2024-10-18 06:22:51,200,9230620961607
Offer 6,O004,8731,237,72,44,1331,2024-03-23 04:41:32,279,9230354967134
Offer 44,O037,9879,212,400,203,2823,2024-05-03 10:27:48,774,9230406147934
Offer 44,O043,2895,889,327,137,2935,2024-12-26 20:50:37,348,9230338854256
Offer 17,O005,6658,788,358,128,2922,2023-08-20 20:20:42,842,9230195976999
Offer 48,O018,6612,225,153,71,482,2023-12-15 03:36:42,942,9230858271073
Offer 48,O032,1436,910,149,168,2074,2023-06-19 05:54:23,168,9230538379054
Offer 27,O011,3496,179,324,179,231,2023-10-29 01:39:20,164,9230804324464
Offer 13,O008,5087,542,441,65,2491,2024-06-24 10:04:44,242,9230798629373
Offer 45,O014,2219,820,308,24,1417,2024-07-23 21:13:01,152,9230547718818
Offer 13,O003,6189,171,241,300,1726,2023-12-27 09:14:22,387,9230572489793
Offer 19,O021,4658,278,161,77,1049,2023-05-10 03:56:46,361,9230130590594
Offer 29,O004,1889,705,64,223,406,2024-09-10 17:55:53,212,9230340148689
Offer 12,O038,7452,202,381,111,2434,2024-06-25 09:08:25,457,9230279476066
Offer 4,O020,9509,436,198,122,2390,2024-04-04 16:53:25,821,9230401465493
Offer 5,O012,4363,310,417,135,2145,2024-04-17 00:20:57,883,9230161844343
Offer 19,O048,3256,342,457,239,2933,2023-05-23 00:58:50,170,9230365091079
Offer 13,O035,4275,809,51,168,2589,2023-06-07 17:55:12,715,9230695127231
Offer 11,O019,7905,473,89,186,2955,2023-01-18 12:23:54,567,9230231393360
Offer 49,O048,9850,926,167,245,2693,2023-06-06 09:03:43,749,9230934867447
Offer 5,O008,6627,863,324,287,1492,2024-07-30 15:15:28,422,9230874591636
Offer 33,O023,8389,595,218,152,857,2024-03-13 20:22:58,461,9230989253929
Offer 25,O015,2721,752,144,66,1636,2023-01-09 23:28:16,572,9230632946288
Offer 34,O025,5718,939,156,208,293,2024-08-20 15:38:36,536,9230621495764
Offer 49,O037,4265,880,128,265,2578,2023-10-30 04:07:56,482,9230737442961
Offer 19,O041,2915,645,264,232,1774,2024-10-12 15:22:04,247,9230980574168
Offer 1,O035,930,843,132,152,721,2024-06-03 09:09:23,631,9230284527343
Offer 38,O046,1094,299,448,289,1699,2024-04-18 04:58:53,231,9230632946288
Offer 9,O030,6909,681,371,278,2835,2023-01-02 05:14:38,269,9230659891639
Offer 27,O020,8387,426,106,25,2084,2024-12-21 09:29:45,289,9230584157454
Offer 38,O019,708,656,134,211,2166,2024-08-28 12:23:49,972,9230377740182
Offer 13,O001,6395,718,76,159,1525,2024-08-03 09:14:35,225,9230324505412
Offer 17,O039,7264,768,284,150,2565,2023-03-01 12:17:40,740,9230926844978
Offer 38,O027,4289,295,500,151,1609,2023-09-07 13:12:25,121,9230677273280
Offer 32,O035,5174,806,470,228,2674,2023-07-02 23:07:02,522,9230401465493
Offer 37,O021,3749,854,236,121,941,2023-12-21 13:33:46,348,9230986337820
Offer 28,O045,6113,842,282,185,419,2024-04-27 03:01:54,353,9230745590992
Offer 1,O007,2129,307,320,222,372,2023-09-18 16:04:40,236,9230445523109
Offer 1,O024,6607,161,212,93,2137,2024-10-19 21:23:08,240,9230134569915
Offer 20,O050,920,211,399,92,2478,2024-01-20 01:27:31,75,9230283949996
Offer 45,O003,5245,384,121,67,1193,2023-08-24 08:31:23,483,9230340061181
Offer 11,O046,9881,265,241,252,941,2023-02-09 12:49:51,799,9230482635548
Offer 38,O008,1026,310,460,143,2630,2024-05-07 18:11:26,358,9230958106815
Offer 46,O032,2242,367,336,23,2946,2023-07-08 10:23:37,503,9230692205256
Offer 1,O040,834,466,77,281,954,2023-01-20 18:56:59,530,9230577919273
Offer 30,O015,7967,118,342,296,2918,2023-08-22 13:14:08,358,9230693732136
Offer 2,O017,2583,714,229,293,2325,2024-10-16 13:38:06,370,9230328855785
Offer 48,O029,2897,465,469,107,540,2024-05-06 11:14:32,525,9230269592945
Offer 3,O045,5607,213,490,243,1572,2023-08-05 06:41:22,687,9230510851164
Offer 6,O036,9802,955,147,259,2585,2023-01-13 03:19:17,734,9230369808467
Offer 29,O044,7473,782,213,24,1596,2023-01-13 05:19:35,514,9230545817301
Offer 18,O050,4937,941,265,30,1778,2023-05-26 13:36:00,142,9230488909528
Offer 16,O043,7249,567,231,207,2947,2024-04-03 16:53:16,866,9230863903371
Offer 49,O027,4642,338,462,280,1613,2023-09-02 18:21:53,471,9230933143804
Offer 22,O008,4963,882,304,258,202,2023-04-06 04:25:42,543,9230877924960
Offer 15,O015,628,358,58,171,1535,2023-06-03 00:26:50,140,9230949423190
Offer 18,O003,3542,572,235,58,1423,2023-06-05 02:03:26,935,9230522252850
Offer 8,O010,4121,977,381,226,588,2024-04-10 15:01:04,420,9230701049720
Offer 17,O003,989,299,354,85,535,2023-05-28 01:02:11,1000,9230259441946
Offer 9,O012,3497,511,473,169,943,2024-05-16 13:58:57,495,9230491725711
Offer 49,O004,2595,348,395,229,2884,2024-01-04 09:40:42,325,9230818324681
Offer 26,O021,3896,927,241,63,831,2023-12-28 00:40:10,607,9230375319344
Offer 42,O039,8409,267,403,137,1680,2024-06-22 00:49:13,748,9230683830895
Offer 24,O009,4188,511,101,151,1950,2024-12-30 00:05:30,752,9230297855405
Offer 31,O002,2278,601,282,189,225,2024-12-21 06:18:13,408,9230570122595
Offer 1,O021,1098,781,130,197,638,2023-11-21 15:19:37,712,9230363807566
Offer 36,O013,4612,181,443,157,293,2024-05-19 12:38:25,100,9230859759249
Offer 28,O028,4774,658,402,45,584,2024-03-19 09:11:11,621,9230489567018
Offer 4,O031,6929,143,317,162,1117,2024-03-20 23:50:19,234,9230131212541
Offer 39,O040,8724,820,71,100,633,2024-01-29 22:15:52,254,9230484748077
Offer 21,O014,606,400,197,167,430,2023-11-01 13:07:16,67,9230380721970
Offer 47,O034,9575,354,279,185,265,2024-04-28 20:55:23,661,9230966239325
Offer 20,O028,6760,983,106,32,1001,2023-02-01 04:27:16,67,9230745590992
Offer 36,O004,9790,215,158,212,222,2024-01-16 09:34:05,803,9230401971867
Offer 8,O013,5376,503,473,140,457,2023-11-22 07:28:50,700,9230297580025
Offer 36,O011,8819,145,50,208,1813,2024-09-27 21:04:50,847,9230854438776
Offer 41,O035,9814,642,59,109,2244,2024-08-16 19:48:17,708,9230781941999
Offer 38,O042,2824,432,474,93,2193,2023-05-15 04:59:32,190,9230801432971
Offer 47,O013,583,445,142,76,1402,2024-01-27 18:00:14,680,9230202281036
Offer 23,O040,1841,266,228,81,1149,2023-08-02 09:24:26,714,9230364676464
Offer 16,O045,6875,174,369,175,349,2024-12-27 16:01:23,680,9230439195173
Offer 10,O019,8992,336,362,113,1849,2023-10-28 16:01:53,188,9230879503904
Offer 25,O034,1362,757,229,70,2077,2024-01-11 10:01:22,778,9230545817301
Offer 16,O031,9119,612,177,117,2285,2024-05-26 18:07:24,762,9230283219045
Offer 45,O003,9744,831,211,209,507,2023-07-07 04:33:06,899,9230328855785
Offer 27,O048,5256,883,211,30,1927,2024-01-23 13:05:05,333,9230131679184
Offer 8,O047,5487,668,53,35,700,2023-02-25 16:22:03,578,9230712491291
Offer 23,O026,2855,503,404,266,1304,2024-11-10 05:07:43,864,9230951173620
Offer 2,O029,5291,433,176,167,1174,2024-06-09 03:54:18,148,9230240764422
Offer 3,O048,5943,596,291,128,1190,2024-07-11 00:25:28,678,9230878531833
Offer 42,O005,2522,881,275,264,1877,2024-06-20 17:47:17,295,9230237324066
Offer 8,O026,2326,207,247,152,228,2024-04-02 21:21:03,257,9230460406713
Offer 11,O040,4018,776,423,237,1565,2024-10-13 19:02:47,163,9230324505412
Offer 48,O039,7928,249,191,49,293,2024-07-12 23:03:19,711,9230347659110
Offer 46,O040,2560,494,256,235,2313,2023-01-18 20:39:31,593,9230879503904
Offer 15,O010,7340,449,276,25,2475,2023-03-15 15:03:10,700,9230808755530
Offer 34,O048,1980,345,480,240,521,2024-02-21 15:31:42,934,9230644375655
Offer 12,O033,3562,348,212,117,1121,2024-07-26 07:14:43,657,9230424681184
Offer 25,O006,2231,665,398,242,387,2024-06-18 12:12:10,609,9230696877696
Offer 12,O042,5948,427,156,135,1522,2024-08-16 08:06:58,209,9230498727181
Offer 32,O013,9214,174,364,296,2753,2023-02-13 06:50:02,109,9230380721970
Offer 49,O020,4188,862,93,191,1819,2024-09-28 16:02:36,929,9230805812231
Offer 29,O012,7965,744,208,224,1583,2023-10-01 04:00:11,741,9230980574168
Offer 33,O034,9732,363,72,108,207,2023-12-21 00:30:04,282,9230878479840
Offer 48,O040,6021,888,102,195,1100,2023-01-10 03:26:07,144,9230918324323
Offer 30,O016,6055,279,350,263,2298,2023-12-28 06:08:05,55,9230261321312
Offer 14,O018,5278,613,318,239,1450,2023-02-20 21:54:48,569,9230361899280
Offer 20,O006,8944,483,256,158,2717,2023-10-04 15:52:22,54,9230823544998
Offer 22,O033,5579,950,342,131,595,2023-03-20 19:35:25,880,9230280094327
Offer 30,O003,5711,402,353,161,1594,2023-11-12 17:47:11,538,9230491718472
Offer 30,O047,9799,478,123,213,1466,2024-05-30 14:17:16,402,9230942028822
Offer 46,O007,1683,900,150,127,2444,2023-05-15 14:21:30,874,9230701049720
Offer 17,O009,3170,786,165,194,2827,2023-09-19 07:29:00,60,9230949423190
Offer 1,O013,8176,892,387,66,2828,2023-01-05 23:16:05,983,9230340148689
Offer 49,O038,6760,843,344,149,1312,2023-01-14 07:55:48,190,9230816548778
Offer 19,O012,9275,694,70,101,915,2024-06-13 11:02:37,780,9230262593890
Offer 38,O040,6663,304,439,232,835,2023-08-21 18:24:51,981,9230532210174
Offer 27,O020,1127,608,437,170,1029,2023-08-17 00:31:30,810,9230633703313
Offer 21,O026,9220,216,63,183,1359,2023-08-03 14:47:36,70,9230206993428
Offer 26,O040,2827,503,372,73,2858,2023-12-31 15:34:16,400,9230627366212
Offer 38,O043,1392,626,453,177,1524,2023-09-10 16:29:09,780,9230281653523
Offer 46,O005,6720,164,301,119,1354,2023-09-12 17:47:29,76,9230277017963
Offer 46,O043,3509,210,175,117,405,2023-04-30 00:15:26,590,9230732582752
Offer 1,O026,8834,193,415,151,2363,2023-09-29 02:19:57,186,9230768600866
Offer 29,O026,4772,487,374,135,1992,2024-02-19 17:04:18,442,9230461913145
Offer 2,O021,4307,849,220,269,755,2024-02-22 15:33:52,830,9230627366212
Offer 33,O009,6697,671,325,240,974,2024-12-27 05:25:25,800,9230621495764
Offer 28,O049,4600,338,483,86,1110,2024-01-02 19:52:20,318,9230493806941
Offer 46,O034,8724,605,485,114,274,2023-06-22 09:38:36,431,9230536743904
Offer 37,O008,2803,333,433,181,713,2023-02-16 14:23:54,691,9230150956349
Offer 13,O020,1132,905,207,139,2614,2024-11-15 12:15:42,647,9230770746433
Offer 20,O024,2916,656,333,280,924,2024-08-21 06:00:41,82,9230572489793
Offer 10,O018,4569,451,343,228,280,2023-08-17 03:24:06,607,9230913469186
Offer 17,O041,7647,124,88,47,398,2023-08-19 06:18:18,560,9230702302189
Offer 44,O015,7743,957,346,177,2644,2024-06-22 20:23:32,84,9230405694220
Offer 36,O015,9207,843,59,146,1271,2023-11-19 18:34:11,242,9230677273280
Offer 35,O009,8435,589,274,52,2695,2023-01-05 07:43:44,696,9230136370951
Offer 33,O015,8082,812,463,132,2259,2023-07-28 10:30:13,722,9230934867447
Offer 33,O011,7818,484,243,74,405,2023-01-09 13:47:06,987,9230863763764
Offer 25,O023,3103,638,212,34,2789,2023-06-11 00:09:02,234,9230768882619
Offer 40,O018,7570,484,496,73,1993,2023-07-27 14:09:09,559,9230793158951
Offer 20,O007,4237,834,232,260,1175,2023-08-26 10:17:40,285,9230844863890
Offer 47,O037,1944,362,188,211,1583,2023-12-03 09:29:35,766,9230503425792
Offer 6,O043,2110,899,68,264,1626,2023-01-15 18:57:33,218,9230369808467
Offer 48,O033,6086,198,478,168,704,2023-11-08 08:44:04,578,9230993414106
Offer 11,O025,8788,242,339,163,2948,2023-07-08 03:17:06,799,9230783931863
Offer 47,O026,6241,940,169,223,1435,2024-06-15 21:55:37,227,9230214230900
Offer 32,O038,9696,168,137,254,960,2023-06-21 02:03:08,443,9230203803040
Offer 50,O029,1306,974,55,184,2495,2023-09-29 22:46:01,68,9230210475028
Offer 40,O009,521,436,219,205,2610,2024-02-08 20:51:49,815,9230781941999
Offer 39,O030,1930,230,487,162,1624,2023-07-08 01:46:54,87,9230996629579
Offer 14,O044,7228,715,177,33,552,2024-01-27 05:41:14,994,9230813900597
Offer 17,O041,1848,390,135,268,2447,2023-11-04 15:42:48,818,9230906222160
Offer 5,O001,9687,460,416,124,1624,2023-09-09 00:57:25,991,9230286659796
Offer 18,O047,9996,161,313,30,354,2023-12-20 01:45:57,639,9230870299395
Offer 29,O007,5734,350,79,191,957,2024-06-13 16:20:10,182,9230949423190
Offer 47,O016,8089,115,497,94,1857,2024-03-15 15:57:08,736,9230768882619
Offer 13,O023,2570,750,364,88,1413,2023-07-15 08:14:23,278,9230108284824
Offer 42,O015,2423,914,158,143,1700,2023-04-25 14:31:41,934,9230226068492
Offer 42,O005,2403,700,381,108,2736,2023-06-29 23:24:06,542,9230130590594
Offer 10,O033,6695,485,298,132,725,2024-06-18 05:34:56,887,9230131213667
Offer 38,O046,9710,925,160,221,2901,2023-11-12 10:50:36,466,9230418573546
Offer 29,O030,6953,358,114,130,697,2023-09-17 18:54:52,812,9230572489793
Offer 5,O047,2079,487,269,114,1271,2023-02-28 02:44:31,712,9230584157454
Offer 47,O031,694,981,76,36,1381,2023-08-02 00:18:19,239,9230710465361
Offer 47,O029,3354,580,367,59,1236,2024-06-04 07:32:38,478,9230371232044
Offer 17,O033,9039,248,305,126,1922,2024-01-10 15:14:43,455,9230277146142
Offer 46,O023,4357,995,241,222,1374,2024-08-19 06:17:00,669,9230877452953
Offer 27,O008,5462,827,483,184,1925,2024-06-20 07:40:42,436,9230980574168
Offer 39,O027,543,936,331,81,1010,2024-06-12 05:40:26,976,9230951046596
Offer 12,O012,5960,893,210,53,1179,2024-05-08 08:00:47,722,9230677426741
Offer 33,O002,2401,116,112,26,2421,2024-12-17 04:10:09,614,9230691534638
Offer 8,O013,3370,902,439,273,2053,2023-10-17 01:04:44,775,9230857572590
Offer 29,O015,5709,239,164,224,405,2024-11-26 01:56:38,490,9230284527343
Offer 1,O011,5639,519,114,295,384,2023-12-03 18:38:40,743,9230609873958
Offer 47,O031,4730,465,388,84,728,2023-08-19 09:05:25,177,9230804972100
Offer 44,O009,4679,712,497,147,2282,2023-08-16 14:08:27,590,9230376679320
Offer 33,O048,2245,849,250,194,1338,2023-10-01 15:00:16,628,9230286659796
Offer 14,O017,705,931,325,46,678,2023-06-27 17:52:58,509,9230776465178
Offer 40,O028,4687,813,228,49,1128,2023-07-21 04:11:56,810,9230407015189
Offer 11,O021,8325,298,287,75,2933,2024-06-04 11:46:21,965,9230250373229
Offer 37,O049,3190,577,180,279,2509,2023-08-05 06:40:39,258,9230531073886
Offer 20,O026,1115,457,338,191,2597,2023-08-06 15:22:48,190,9230712491291
Offer 1,O013,2038,315,394,93,750,2024-06-27 08:33:57,987,9230858271073
Offer 34,O044,9401,989,54,24,2729,2023-03-08 15:32:29,945,9230407100763
Offer 16,O012,1411,425,439,212,1666,2024-02-11 22:12:50,903,9230927056639
Offer 22,O011,8254,929,296,278,356,2023-03-18 07:43:53,383,9230805185257
Offer 21,O018,819,603,188,181,1790,2024-02-27 08:12:16,792,9230220901940
Offer 25,O043,7695,865,425,243,578,2023-12-20 14:31:59,188,9230999762562
Offer 12,O018,7907,515,168,203,705,2024-08-18 00:10:26,108,9230276660407
Offer 36,O035,2000,752,296,270,2622,2024-11-10 17:42:27,166,9230677273280
Offer 25,O039,6699,714,100,177,1810,2024-11-22 12:40:48,654,9230549696488
Offer 3,O035,1955,889,118,290,747,2024-06-16 17:06:38,929,9230734328465
Offer 50,O042,3902,221,272,264,471,2024-01-02 15:41:34,338,9230877452953
Offer 45,O008,6038,208,283,105,1427,2023-12-06 14:23:52,575,9230226068492
Offer 26,O006,2168,229,324,262,644,2024-05-12 08:44:51,428,9230214230900
Offer 37,O017,1273,241,81,199,1456,2023-03-29 13:42:24,957,9230436309566
Offer 13,O015,2482,963,161,103,2733,2024-07-10 17:46:46,633,9230501743542
Offer 11,O032,3952,992,454,220,854,2024-11-01 11:55:51,561,9230719228714
Offer 48,O049,2435,982,167,261,445,2024-08-02 16:26:26,275,9230989253929
Offer 36,O045,7138,495,473,130,2403,2023-11-14 09:40:20,171,9230403240894
Offer 46,O049,2249,291,435,206,342,2024-10-13 02:43:31,70,9230421889309
Offer 20,O050,1096,722,71,170,1712,2024-01-30 16:21:34,915,9230975398588
Offer 12,O014,8853,702,200,271,1980,2024-07-24 02:19:57,394,9230181232816
Offer 37,O032,7022,858,71,70,2251,2024-01-16 14:49:16,617,9230206993428
Offer 15,O029,5887,860,255,163,2229,2023-03-20 20:21:08,818,9230707794631
Offer 42,O017,7396,253,134,209,1427,2024-03-27 07:53:19,340,9230150956349
Offer 33,O048,7193,312,333,189,2260,2024-02-10 01:11:21,65,9230482635548
Offer 5,O037,3567,350,453,157,2106,2024-12-23 04:14:40,199,9230316119294
Offer 44,O045,2940,950,214,224,2810,2024-09-22 02:15:48,99,9230132527460
Offer 46,O010,5523,179,141,291,1023,2023-02-06 04:15:52,869,9230813900597
Offer 25,O050,2850,775,176,250,2951,2024-12-14 20:56:40,193,9230817598215
Offer 46,O002,1065,426,92,49,2539,2023-06-19 19:42:19,477,9230349006281
Offer 37,O005,9789,611,375,237,2458,2023-06-17 10:08:57,377,9230629451290
Offer 25,O005,7102,859,454,101,1185,2024-05-15 09:31:09,59,9230584816103
Offer 24,O036,4804,792,183,122,1913,2024-11-27 14:31:49,199,9230509988441
Offer 12,O025,1703,568,54,288,2013,2023-12-16 00:10:34,731,9230509493265
Offer 43,O024,6773,379,127,237,2721,2024-05-09 01:15:16,244,9230195976999
Offer 38,O040,2058,796,332,232,2522,2023-09-27 04:56:50,610,9230416880924
Offer 41,O013,8163,894,292,154,510,2024-04-29 03:10:41,737,9230406147934
Offer 30,O027,5243,532,96,259,2091,2024-12-15 08:32:11,110,9230369808467
Offer 39,O047,2814,436,478,66,1325,2023-05-05 02:31:23,323,9230525329325
Offer 34,O010,2075,814,428,139,625,2023-06-19 21:08:07,676,9230986337820
Offer 8,O016,5471,424,173,60,1491,2023-02-09 17:01:51,617,9230655468230
Offer 20,O006,6424,338,313,94,2644,2023-12-28 04:12:32,599,9230870299395
Offer 30,O023,3425,614,77,27,2045,2023-09-28 16:44:01,533,9230865836147
Offer 7,O011,2803,278,446,238,673,2023-06-09 08:19:00,429,9230260106137
Offer 39,O010,1300,772,497,88,2448,2023-02-16 04:24:28,834,9230600587929
Offer 7,O019,9071,269,299,179,222,2024-08-04 08:00:41,859,9230913469186
Offer 39,O032,9551,392,174,173,2870,2024-01-07 03:43:19,654,9230372387956
Offer 10,O018,6537,357,96,123,2255,2023-04-27 01:11:41,900,9230797287920
Offer 32,O049,8109,412,449,70,1631,2023-03-02 18:03:48,262,9230799348185
Offer 47,O005,7934,296,267,251,1455,2023-07-25 19:09:11,394,9230783578773
Offer 5,O031,4722,874,306,180,380,2023-12-27 16:41:21,800,9230913662608
Offer 16,O032,6107,491,273,237,205,2023-03-12 10:26:39,708,9230553625236
Offer 7,O048,4463,986,301,263,660,2024-05-05 15:35:26,857,9230815165481
Offer 47,O018,9158,1000,296,37,623,2023-01-11 22:25:57,275,9230172475544
Offer 23,O034,4551,788,440,90,691,2023-06-26 22:32:54,639,9230162731400
Offer 27,O002,4198,257,441,176,705,2023-05-22 09:18:54,167,9230829631581
Offer 47,O006,2489,680,211,29,1708,2024-03-30 06:16:31,503,9230274619633
Offer 15,O032,4510,433,350,131,2198,2024-01-08 14:17:09,403,9230625617252
Offer 46,O041,5099,583,103,274,2883,2024-06-28 05:04:17,387,9230768600866
Offer 40,O050,5415,700,415,66,682,2024-02-16 06:22:04,813,9230863763764
Offer 8,O038,8549,646,394,28,1837,2024-10-06 17:19:32,975,9230745590992
Offer 21,O003,2266,585,198,62,1440,2023-07-17 22:49:07,987,9230320913591
Offer 49,O003,9881,852,137,231,432,2023-09-29 08:22:39,479,9230365091079
Offer 12,O031,4538,616,442,43,957,2023-10-02 18:11:23,806,9230515578106
Offer 5,O004,6154,178,253,180,1459,2024-07-10 14:46:33,600,9230613161747
Offer 38,O046,2822,660,77,287,2803,2023-06-17 19:48:12,845,9230513601178
Offer 48,O007,9163,510,264,158,2181,2024-07-31 10:56:16,594,9230260106137
Offer 19,O036,5022,889,377,177,2599,2024-03-16 03:04:50,257,9230757247005
Offer 12,O016,5110,379,81,118,2616,2023-11-20 21:22:46,765,9230541679053
Offer 41,O007,9458,673,208,160,1594,2024-10-10 16:00:55,549,9230308743962
Offer 34,O001,1339,820,154,43,1237,2023-04-15 10:55:32,758,9230862699321
Offer 10,O049,2323,856,151,114,591,2023-10-25 08:55:44,706,9230585087525
Offer 24,O021,2691,412,347,55,2636,2024-02-15 02:33:00,389,9230843939004
Offer 13,O043,2198,735,105,298,1856,2023-05-22 09:32:25,719,9230636066934
Offer 46,O043,6702,791,440,208,2875,2023-11-30 22:38:46,597,9230150956349
Offer 17,O009,4336,663,385,200,1316,2024-01-04 01:58:32,229,9230996583212
Offer 12,O037,3897,781,284,264,1165,2024-03-30 13:50:00,911,9230783578773
Offer 11,O036,6585,154,93,206,456,2023-02-11 12:42:15,387,9230797852798
Offer 23,O040,3777,218,424,283,516,2023-01-01 09:05:50,996,9230390393385
Offer 41,O038,8450,830,331,145,619,2024-09-21 03:01:23,640,9230865562600
Offer 23,O014,5157,581,309,61,2930,2024-09-28 08:36:53,314,9230934867447
Offer 14,O049,8713,992,163,204,1956,2024-06-06 20:09:42,738,9230818324681
Offer 38,O005,4911,646,493,163,1938,2023-03-31 11:45:11,589,9230764380110
Offer 6,O024,2076,127,471,264,950,2024-05-14 09:16:20,224,9230951046596
Offer 45,O031,6980,365,419,64,861,2024-06-23 19:03:43,93,9230372387956
Offer 17,O024,7219,348,264,281,1061,2023-10-21 12:52:40,873,9230823544998
Offer 3,O012,7109,468,264,128,2610,2024-05-18 15:23:09,797,9230539361665
Offer 2,O025,8514,359,173,135,1867,2023-11-25 22:01:56,835,9230759296495
Offer 26,O040,8105,853,409,191,1918,2023-07-01 22:13:12,119,9230951046596
Offer 9,O001,7426,670,231,127,1679,2024-05-22 17:49:21,166,9230934867447
Offer 33,O035,2802,162,285,207,2797,2023-12-25 14:55:34,113,9230174337699
Offer 15,O041,1329,719,252,295,695,2023-04-17 04:12:38,65,9230488988175
Offer 50,O042,3811,133,399,209,480,2024-07-07 02:57:08,254,9230276004324
Offer 24,O030,5548,433,303,128,1645,2023-04-05 13:52:21,933,9230408988930
Offer 21,O040,6481,784,121,259,511,2024-01-05 04:03:23,552,9230224556190
Offer 42,O021,8958,339,219,156,2463,2023-04-01 19:01:44,193,9230863903371
Offer 29,O050,7486,294,56,115,529,2024-04-25 16:09:43,272,9230834904761
Offer 29,O007,5613,709,281,245,1635,2024-06-18 15:46:04,815,9230771370719
Offer 46,O015,5233,194,262,161,237,2024-04-14 13:12:20,865,9230874225782
Offer 41,O009,9450,106,105,264,2095,2023-11-24 19:39:20,669,9230449994233
Offer 10,O006,7096,342,90,286,2203,2023-05-18 12:36:18,548,9230423959650
Offer 34,O022,8871,845,93,148,1766,2024-08-21 03:27:00,228,9230917703637
Offer 1,O014,5883,715,364,83,1981,2023-02-13 02:28:50,291,9230575260490
Offer 33,O011,806,257,99,164,1025,2024-01-22 02:46:16,494,9230240764422
Offer 33,O032,8701,609,350,143,396,2023-04-17 22:28:00,532,9230277713469
Offer 34,O027,7487,414,356,54,1364,2024-04-18 03:42:07,227,9230857572590
Offer 23,O030,7733,593,365,202,1439,2023-03-05 19:51:41,673,9230365091079
Offer 10,O014,2547,747,479,106,2233,2024-10-25 13:06:54,651,9230858271073
Offer 33,O047,5473,754,132,45,1341,2023-08-04 10:22:59,771,9230530607842
Offer 10,O034,2041,547,233,139,2862,2023-06-19 23:19:23,425,9230963789911
Offer 22,O050,6613,371,189,61,2049,2024-03-08 21:33:48,973,9230671758459
Offer 20,O016,5329,678,314,157,1140,2023-06-23 04:20:21,254,9230218302795
Offer 25,O044,5081,479,122,192,542,2024-01-22 14:16:06,894,9230805185257
Offer 31,O050,7749,729,119,49,2069,2023-12-06 09:12:02,730,9230375319344
Offer 24,O035,1978,784,276,75,1986,2024-08-07 23:30:44,84,9230728340344
Offer 34,O043,3763,738,128,148,482,2024-06-11 02:29:03,185,9230353836706
Offer 43,O031,9446,829,231,225,1055,2023-12-30 15:51:07,172,9230734656004
Offer 33,O039,7106,435,422,203,243,2024-03-01 21:24:35,520,9230166511912
Offer 33,O030,6776,135,261,112,1739,2024-07-13 12:47:12,585,9230660795550
Offer 45,O043,4078,640,192,170,758,2023-03-21 08:23:26,449,9230460406713
Offer 45,O043,6031,319,223,20,707,2024-01-29 22:18:57,168,9230644375655
Offer 11,O017,7641,665,441,33,2703,2024-07-25 16:38:52,660,9230751286997
Offer 25,O004,8627,267,466,233,1217,2023-09-27 19:48:59,618,9230916001896
Offer 49,O021,4778,686,165,190,1183,2023-02-09 07:47:11,992,9230848893085
Offer 38,O014,5620,487,383,170,221,2023-08-20 10:17:57,98,9230756956744
Offer 16,O019,2228,909,210,111,783,2024-09-28 22:41:33,196,9230108284824
